job_title,salary,location,remote_location,compnay_size,expereince_level,employment_type,skills
Product Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Medium,Junior,FT,"R,Google Cloud,SQL,Azure"
Data Analyst II,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,501-1000,SE,C2C,"['Tableau', 'Excel', '', 'Google Cloud']"
Data Analyst!!!,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Startup,Junior,C2C, | SQL | AWS | Power BI | R
Data Analyst!!!,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Large,Junior,W2,AWS | Google Cloud | SQL | Tableau
BI Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,0-5 yrs,Temporary, and Python and Tableau and Power BI and Excel
Data Analytics Specialist,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,501-1000,Jr,Temporary,"['Python', 'R', 'SQL']"
Product Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,501-1000,Entry-level,Part-time,Excel | AWS | Python | SQL
Senior Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,500,Entry-level,Part-time,"['SQL', 'Azure', 'Power BI', 'AWS']"
Data Analyst II,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,10000+,MI,C2C,",Azure"
Data Analytics Specialist,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,Principal,W2,"['Azure', 'Python', 'Tableau', 'SQL']"
DATA ANALYST,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,10000+,0-5 yrs,W2,"['', 'Python', 'SQL', 'Excel', 'Azure']"
Marketing Data Analyst,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,EN,Contract,"['AWS', 'Google Cloud']"
Data Analyst II,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,500,0-2 years,C2C,Power BI/AWS/Tableau/Python/R
Senior Data Analyst,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Unknown,5+ years,C2C,"['Python', 'SQL']"
Data Analyst II,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Large,MI,Full-time,"['Google Cloud', 'AWS', 'Power BI', 'Azure']"
Jr. Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,500,Sr.,Freelance,"['Python', 'R', 'Google Cloud', '', 'Power BI']"
Jr. Data Analyst,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,501-1000,Junior,FT,"Excel, Azure"
BI Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,Sr.,Temporary,Python;Excel;Tableau;Power BI
DATA ANALYST,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,Junior,W2,"['R', '']"
Sr. Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Startup,Junior,C2C,"['', 'Google Cloud']"
Sr. Data Analyst,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Medium,SE,Freelance,Power BI and  and AWS
Senior Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,500,Junior,PT,"['AWS', 'Google Cloud', 'Azure', 'Python']"
Junior Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,0-5 yrs,PT,"Google Cloud, Tableau"
Marketing Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,501-1000,EN,Full-time,AWS and Power BI and Google Cloud and Azure
Sr. Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,1-10,Junior,W2,"['Tableau', 'Python']"
Marketing Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,5+ years,Freelance,Excel;Google Cloud
Senior Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Startup,Senior,C2C,"Google Cloud,Excel,AWS,SQL"
DATA ANALYST,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Unknown,Junior,W2,Azure/AWS/Excel/Tableau/Python
Junior Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,500,Entry-level,Temporary,"['Google Cloud', 'AWS']"
Junior Data Analyst,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,Jr,PT,
Jr. Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Unknown,Principal,Contract,"Tableau,Excel,Google Cloud,SQL,R"
BI Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Large,0-2 years,Part-time,"['Google Cloud', 'AWS', 'Excel', '', 'Power BI']"
Data Analytics Specialist,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,Sr.,C2C,", SQL, AWS, R, Google Cloud"
Junior Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Medium,EN,Contract,;Tableau;Excel;SQL;R
Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Unknown,5+ years,C2C,SQL/R//Azure
Senior Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,1-10,0-2 years,Temporary,"['Google Cloud', 'Tableau', 'AWS']"
Junior Data Analyst,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Medium,MI,Temporary,AWS and Power BI and SQL and Excel and Python
Junior Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,501-1000,5+ years,PT,"['SQL', 'Google Cloud', 'Azure', 'Tableau', 'R']"
Data Analyst!!!,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,1-10,Entry-level,PT,",SQL"
Data Analyst - Remote,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,500,Entry-level,C2C,Excel | Google Cloud | Tableau
Marketing Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,5+ years,FT,"Excel,SQL,"
Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,501-1000,Entry-level,Temporary,Python | 
Data Analyst!!!,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,Jr,FT,"['AWS', 'Python', 'Google Cloud', 'SQL', 'Tableau']"
Data Analyst - Remote,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,10000+,Entry-level,Temporary,"['Python', 'Power BI', 'Azure', 'AWS']"
Junior Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,500,0-5 yrs,C2C,"R, Excel"
Data Analytics Specialist,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,Junior,W2,"['Tableau', 'Excel']"
Data Analyst,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Medium,Sr.,Full-time,",Azure,SQL,Google Cloud,Excel"
Jr. Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,10000+,Entry-level,Temporary,"['SQL', 'AWS']"
Data Analyst II,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,500,SE,Part-time,SQL | Tableau | Python | Azure | Google Cloud
Data Analyst!!!,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,500,Sr.,W2,
Junior Data Analyst,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Startup,MI,Full-time,"['SQL', 'Power BI']"
Junior Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Medium,0-5 yrs,C2C,"Excel,Power BI,Azure,Tableau,Google Cloud"
BI Analyst,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,501-1000,SE,PT,"['Excel', 'Power BI', 'Google Cloud', 'Tableau', 'Python']"
Marketing Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,501-1000,Junior,PT,"['AWS', 'R']"
Marketing Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Startup,Junior,C2C,Python | Tableau | Azure | 
BI Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Unknown,Senior,Full-time,"Excel, Azure, Python, Google Cloud, Power BI"
Data Analyst!!!,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Large,Entry-level,W2,"['Power BI', 'AWS']"
Data Analyst - Remote,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,1-10,5+ years,C2C,Google Cloud | AWS | R | Azure | Python
Senior Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Unknown,Principal,W2,R/Tableau/Google Cloud/Excel
Data Analytics Specialist,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Unknown,Senior,C2C,Google Cloud/SQL
Senior Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Startup,Sr.,Part-time,AWS;Google Cloud
Data Analyst II,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,10000+,Senior,C2C,"['Excel', 'SQL']"
Junior Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,500,Senior,FT,"['', 'Excel']"
Data Analytics Specialist,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Medium,Jr,PT,"R,Power BI"
Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,Jr,Temporary,",Tableau"
Junior Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,501-1000,Sr.,FT,"Tableau, , Excel"
Jr. Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,10000+,SE,PT,SQL;Excel
Product Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Unknown,Jr,FT,"['SQL', 'Python', 'Tableau', 'Excel']"
Product Data Analyst,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Unknown,Junior,W2,Tableau/AWS
Data Analyst!!!,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,MI,Contract,"['Tableau', '', 'Azure', 'Python']"
Junior Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Medium,EN,Contract,", AWS, Excel"
Marketing Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,Entry-level,Temporary,
Sr. Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Unknown,0-2 years,Freelance,"['Python', 'Excel', 'Power BI']"
Data Analytics Specialist,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,Jr,Freelance,"['Google Cloud', 'R']"
Sr. Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Medium,Jr,Temporary,"SQL,Python,Excel"
Data Analyst - Remote,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,500,0-2 years,Full-time,Google Cloud;
BI Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,Unknown,Junior,C2C,"SQL,AWS"
Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,501-1000,5+ years,PT,"['', 'Tableau']"
Junior Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,10000+,EN,Full-time,"['', 'Excel']"
Data Analyst - Remote,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,SE,Temporary,"Python,Google Cloud,R"
Data Analyst - Remote,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,501-1000,5+ years,Part-time,Power BI/Google Cloud/R/Python/Azure
Product Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,MI,Contract,"['Python', 'Excel', 'SQL', 'Power BI', 'Tableau']"
Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,501-1000,EN,Part-time,SQL and Excel
DATA ANALYST,"$90,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,10000+,0-5 yrs,Freelance,"['R', 'Excel', 'Power BI', 'SQL']"
Product Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,10000+,Senior,Full-time,"['Tableau', 'R', 'Azure', 'SQL']"
Junior Data Analyst,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Medium,Jr,FT,"Python,,Power BI"
Sr. Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,Jr,Part-time,
Data Analytics Specialist,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,0-5 yrs,Freelance,/Google Cloud/Excel/Azure/Tableau
Sr. Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,501-1000,MI,FT,"['Excel', '', 'Python', 'Power BI']"
Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Medium,Principal,W2,"['Azure', 'Python', 'Excel', 'R']"
Data Analyst II,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Large,Junior,Contract,"['SQL', 'AWS', 'Google Cloud', 'R', 'Tableau']"
Junior Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Unknown,Principal,FT,"['Excel', 'Azure', 'AWS']"
Jr. Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Unknown,SE,Contract,Excel | R
Senior Data Analyst,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Unknown,Junior,C2C,Power BI;SQL;R;Google Cloud;
Data Analytics Specialist,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,501-1000,Junior,FT,"['R', 'AWS', 'Google Cloud']"
Jr. Data Analyst,"%50,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",True,Large,Principal,Contract,AWS/Google Cloud/Excel/R
Temporary,Jr. Data Analyst,"140,000.00","['R', '', 'Python']","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",EN,Medium,Hybrid
Data Analyst!!!,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,500,Senior,C2C,"Excel, R, SQL"
Junior Data Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Large,0-5 yrs,FT,"['Excel', 'Power BI', 'Google Cloud', 'Python', 'Azure']"
Data Analyst II,80-90k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,1-10,Senior,Contract,"['SQL', 'Python', 'Excel']"
Data Analyst!!!,"140,000.00","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,Large,0-5 yrs,Freelance,", Excel, SQL, AWS"
Junior Data Analyst,"$60,000 - $80,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Startup,Sr.,Part-time,"['Excel', 'Google Cloud', 'SQL', 'Python', 'Tableau']"
Data Analyst II,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Medium,0-2 years,Temporary,"['SQL', 'R', 'AWS', 'Python']"
